"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","21","1","8","152","1848","0","-39","2017-06-21 18:26:43","9923"
"A1K8QNLYYYX21W","sp_v3_real2","3YDGXNSEOZV6ECWH0FJYOUMRH9X84Q","0","0","1","1","5","2","1","1","0","1","112","1612","1","-4","2017-06-21 18:26:43","9924"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","2","0","28","2","3","118","1901","0","-16","2017-06-21 18:26:45","9925"
"AVPKE76DJLWK6
","sp_v3_real2","324G5B4FB39LFA9X794QYR0JPDB07F","1","1","4","2","7","1","0","17","1","4","114","1111","0","-3","2017-06-21 18:26:46","9926"
"A3UAO2LYUPO7L6","sp_v3_real2","354P56DE9K4LGJT9GBNA8X62K5U7S9","1","1","2","4","4","0","0","18","0","18","116","1440","0","-4","2017-06-21 18:26:46","9927"
"AY5OS6NZWVX22","sp_v3_real2","3F0BG9B9MPOIC55IFHFZQJU31QQ7YN","1","0","4","1","5","2","0","7","0","7","88","1900","1","32","2017-06-21 18:26:47","9928"
"A13PXTFOXDCKBF","sp_v3_real2","3XIQGXAUMC9TC0F8ALTX75NUZKW7XH","0","1","2","1","6","0","0","15","1","1","113","427","0","0","2017-06-21 18:26:48","9929"
"A1K8QNLYYYX21W","sp_v3_real2","3YDGXNSEOZV6ECWH0FJYOUMRH9X84Q","0","0","1","1","5","2","0","2","0","2","112","1435","0","-4","2017-06-21 18:26:51","9930"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","22","1","9","152","614","0","-39","2017-06-21 18:26:52","9931"
"AVPKE76DJLWK6
","sp_v3_real2","324G5B4FB39LFA9X794QYR0JPDB07F","1","1","4","2","7","1","0","18","1","5","114","774","0","-3","2017-06-21 18:26:53","9932"
"A13PXTFOXDCKBF","sp_v3_real2","3XIQGXAUMC9TC0F8ALTX75NUZKW7XH","0","1","2","1","6","0","0","16","1","2","113","338","0","0","2017-06-21 18:26:55","9933"
"A1K8QNLYYYX21W","sp_v3_real2","3YDGXNSEOZV6ECWH0FJYOUMRH9X84Q","0","0","1","1","5","2","0","3","0","3","112","166","0","-4","2017-06-21 18:26:57","9934"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","2","0","29","2","4","118","369","0","-16","2017-06-21 18:26:57","9935"
"AY5OS6NZWVX22","sp_v3_real2","3F0BG9B9MPOIC55IFHFZQJU31QQ7YN","1","0","4","1","5","2","0","8","0","8","84","2585","1","36","2017-06-21 18:26:57","9936"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","23","1","10","152","415","0","-39","2017-06-21 18:26:58","9937"
"AVPKE76DJLWK6
","sp_v3_real2","324G5B4FB39LFA9X794QYR0JPDB07F","1","1","4","2","7","1","0","19","1","6","114","919","0","-3","2017-06-21 18:27:01","9938"
"A3UAO2LYUPO7L6","sp_v3_real2","354P56DE9K4LGJT9GBNA8X62K5U7S9","1","1","2","4","4","0","0","19","0","19","116","6341","0","-4","2017-06-21 18:27:01","9939"
"A13PXTFOXDCKBF","sp_v3_real2","3XIQGXAUMC9TC0F8ALTX75NUZKW7XH","0","1","2","1","6","0","0","17","1","3","113","400","0","0","2017-06-21 18:27:01","9940"
"A1K8QNLYYYX21W","sp_v3_real2","3YDGXNSEOZV6ECWH0FJYOUMRH9X84Q","0","0","1","1","5","2","1","4","0","4","108","74","1","-6","2017-06-21 18:27:02","9941"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","24","1","11","152","542","0","-39","2017-06-21 18:27:05","9942"
"A13PXTFOXDCKBF","sp_v3_real2","3XIQGXAUMC9TC0F8ALTX75NUZKW7XH","0","1","2","1","6","0","0","18","1","4","113","409","0","0","2017-06-21 18:27:07","9943"
"AY5OS6NZWVX22","sp_v3_real2","3F0BG9B9MPOIC55IFHFZQJU31QQ7YN","1","0","4","1","5","2","0","9","0","9","80","3054","1","40","2017-06-21 18:27:08","9944"
"AVPKE76DJLWK6
","sp_v3_real2","324G5B4FB39LFA9X794QYR0JPDB07F","1","1","4","2","7","1","0","20","1","7","114","855","0","-3","2017-06-21 18:27:08","9945"
