"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","28","2","0","198","261","1","2","2017-06-21 15:51:24","5413"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","39","2","8","180","1444","0","20","2017-06-21 15:51:24","5414"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","32","2","10","153","332","1","-30","2017-06-21 15:51:24","5415"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","26","1","6","200","373","0","0","2017-06-21 15:51:26","5416"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","0","1","2","2","6","0","1","36","1","18","234","30","0","-42","2017-06-21 15:51:29","5417"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","29","2","1","196","206","1","4","2017-06-21 15:51:30","5418"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","33","2","11","149","283","1","-33","2017-06-21 15:51:31","5419"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","40","2","9","180","1144","0","20","2017-06-21 15:51:31","5420"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","27","1","7","200","360","0","0","2017-06-21 15:51:33","5421"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","0","1","2","2","6","0","1","37","1","19","236","298","0","-44","2017-06-21 15:51:35","5422"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","34","2","12","145","376","1","-36","2017-06-21 15:51:37","5423"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","41","2","10","180","816","0","20","2017-06-21 15:51:38","5424"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","1","30","2","2","190","1488","1","0","2017-06-21 15:51:39","5425"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","28","1","8","200","437","0","0","2017-06-21 15:51:40","5426"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","35","2","13","141","386","1","-39","2017-06-21 15:51:44","5427"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","42","2","11","180","1383","0","20","2017-06-21 15:51:46","5428"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","29","1","9","200","365","0","0","2017-06-21 15:51:46","5429"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","1","31","2","3","184","567","1","-4","2017-06-21 15:51:47","5430"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","36","2","14","137","310","1","-42","2017-06-21 15:51:51","5431"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","1","38","2","0","232","1129","1","-48","2017-06-21 15:51:52","5432"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","43","2","12","180","971","0","20","2017-06-21 15:51:53","5433"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","1","0","1","4","3","0","0","30","1","10","200","705","0","0","2017-06-21 15:51:53","5434"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","1","32","2","4","178","379","1","-8","2017-06-21 15:51:55","5435"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","37","2","15","133","438","1","-45","2017-06-21 15:51:57","5436"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","0","0","0","200","9500","0","0","2017-06-21 15:51:59","5437"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","44","2","13","180","916","0","20","2017-06-21 15:52:00","5438"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","1","39","2","1","228","1801","1","-52","2017-06-21 15:52:01","5439"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","33","2","5","176","140","1","-6","2017-06-21 15:52:02","5440"
