"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","25","2","4","97","243","0","-2","2017-05-30 00:43:22","13762"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","13","1","2","97","377","0","-2","2017-05-30 00:43:25","13763"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","1","6","1","1","89","150","1","-24","2017-05-30 00:43:26","13764"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","26","2","5","97","91","0","-2","2017-05-30 00:43:28","13766"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","1","7","1","2","87","318","1","-27","2017-05-30 00:43:32","13768"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","14","1","3","97","558","0","-2","2017-05-30 00:43:32","13769"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","27","2","6","97","125","0","-2","2017-05-30 00:43:33","13771"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","1","8","1","3","85","238","1","-30","2017-05-30 00:43:38","13773"
"A3CJRJ5F32AVL4","sp_v2_s","3DZQRBDBSLG3F0SMEZKKVGUMDNRS3A","1","0","-1","1","0","1","0","1","98","10799","1","2","2017-05-30 00:43:38","13774"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","15","1","4","97","462","0","-2","2017-05-30 00:43:39","13775"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","28","2","7","97","188","0","-2","2017-05-30 00:43:39","13776"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","1","9","1","4","83","132","1","-33","2017-05-30 00:43:44","13779"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","29","2","8","97","91","0","-2","2017-05-30 00:43:45","13780"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","16","1","5","97","437","0","-2","2017-05-30 00:43:45","13781"
"A3CJRJ5F32AVL4","sp_v2_s","3DZQRBDBSLG3F0SMEZKKVGUMDNRS3A","1","0","-1","1","1","2","0","2","96","1555","1","-1","2017-05-30 00:43:48","13783"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","1","10","1","5","81","206","1","-36","2017-05-30 00:43:49","13784"
"A2CYD8QD1JO0O5","sp_v2_s","3F6HPJW4JD171ZDCU4GG9VSFDMNW2I","0","1","-1","2","0","30","2","9","97","92","0","-2","2017-05-30 00:43:51","13787"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","17","1","6","97","596","0","-2","2017-05-30 00:43:52","13788"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","0","11","1","6","81","69","0","-36","2017-05-30 00:43:56","13789"
"A20J7F7PKEZZV2","sp_v2_s","3ATTHHXXWAPQ1KW4TCXUYUD3BKQXIN","0","1","-1","2","0","27","2","7","59","64576","0","-14","2017-05-30 00:43:57","13791"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","18","1","7","97","407","0","-2","2017-05-30 00:43:59","13792"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","0","12","1","7","81","126","0","-36","2017-05-30 00:44:02","13794"
"A3CJRJ5F32AVL4","sp_v2_s","3DZQRBDBSLG3F0SMEZKKVGUMDNRS3A","1","0","-1","1","0","3","0","3","96","1634","0","-1","2017-05-30 00:44:03","13795"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","19","1","8","97","615","0","-2","2017-05-30 00:44:05","13796"
"A20J7F7PKEZZV2","sp_v2_s","3ATTHHXXWAPQ1KW4TCXUYUD3BKQXIN","0","1","-1","2","1","28","2","8","57","1199","1","-17","2017-05-30 00:44:06","13797"
"A1C6NTK19FBQO0","sp_v2_s","3N4BPTXIO8TPQBSXOA7JR3TC96YKUT","0","1","-1","2","0","13","1","8","81","244","0","-36","2017-05-30 00:44:08","13799"
"A87D3K9YVKTQ7","sp_v2_s","3WYGZ5XF3WG9BY0TZ5CJC2BOO9DSKL","1","1","-1","2","1","0","0","0","97","4102","1","-2","2017-05-30 00:44:10","13800"
"A1A2X0T1XE8K89","sp_v2_s","34T446B1C0FRRR4TYQC1EDSXO8M0CU","1","1","-1","1","0","20","1","9","97","557","0","-2","2017-05-30 00:44:12","13802"
