"subject","version","assignmentId","role","stealCond","punCond","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","0","0","0","1","0","7","0","7","91","43","0","-6","2017-05-29 18:44:36","1512"
"A39Q4SNT7SRK94","sp_v2","32KTQ2V7RDGMW74XBBP8AKY2LP1M9P","0","0","1","1","0","7","0","7","100","72","0","0","2017-05-29 18:44:38","1513"
"A3RHGIM99R25Q9","sp_v2","3NQL1CS15R9KNV6EXFIFWXA6LRYYV7","1","0","0","1","0","2","0","2","97","129","1","3","2017-05-29 18:44:38","1514"
"ALYR5CI2SM2JC","sp_v2","3TVSS0C0E111LY7PDJ0CAI15DYIWTQ","0","0","1","1","0","0","0","0","100","10268","0","0","2017-05-29 18:44:38","1515"
"A4IH4CO046EV3","sp_v2","3M81GAB8A0KW5FHM1OALIZDXJQ1BQB","0","1","0","1","0","6","0","6","98","308","0","-3","2017-05-29 18:44:38","1516"
"AGDJB8B8CDZ71","sp_v2","3GU1KF0O4I2B53G71BVWIUNNEUFBPK","0","1","0","1","0","4","0","4","100","383","0","0","2017-05-29 18:44:39","1517"
"A1H162QMRV01SA","sp_v2","3SPJ0334214BW06KGQ4WT9ZCQ4RYJM","0","1","0","1","1","0","0","0","98","2534","1","-3","2017-05-29 18:44:40","1518"
"A33AZCOKCCTUXV","sp_v2","3DYGAII7PL9Y99IWKTSMDJIM0UGQPB","1","0","1","1","1","1","0","1","94","606","1","-6","2017-05-29 18:44:40","1519"
"A5BEH1IONAYMB","sp_v2","3L4D84MILZTPA5GV6Q08794908EHJ6","1","0","0","1","0","3","0","3","93","2055","1","-8","2017-05-29 18:44:40","1520"
"A3NVSZTO346FN","sp_v2","3UNH76FOCS61X8C5JNHO91RTUYMMYE","1","1","0","1","1","2","0","2","91","480","1","-6","2017-05-29 18:44:42","1521"
"A1QEQOI98976S0","sp_v2","3F6HPJW4JD171ZDCU4GG9VSFDL5W2Y","0","0","1","1","1","1","0","1","94","3118","1","-6","2017-05-29 18:44:42","1522"
"A21UA6O7ZFAIQJ","sp_v2","3MD9PLUKKIF7KG7ARAY70NPV5I0NZ6","1","0","1","1","1","5","0","5","82","669","1","-18","2017-05-29 18:44:42","1523"
"A1X258MWJFEMTW","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1XEU","1","1","0","1","0","0","0","0","98","3060","1","2","2017-05-29 18:44:42","1524"
"A1X5IZPCRLL0Z7","sp_v2","3QFUFYSY9YGFTR648TP4YM3D2WC4F5","0","1","1","1","0","6","0","6","100","379","0","0","2017-05-29 18:44:43","1525"
"A34J6IBB4DGYP1","sp_v2","3N2BF7Y2VQVFBDMG9ND0N1WQ429MHF","0","0","0","1","1","2","0","2","91","2446","1","-6","2017-05-29 18:44:43","1526"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","0","0","0","1","0","8","0","8","91","178","0","-6","2017-05-29 18:44:43","1527"
"A2GB0RI43KU4Z","sp_v2","379J5II41OHJLLDTJA4F2LKOCHRELP","0","1","1","1","0","4","0","4","100","1186","0","0","2017-05-29 18:44:43","1528"
"A3TJ3ORKWH4IYW","sp_v2","3IXEICO792K3RJSJM1N8CO2SPWPT6M","1","0","1","1","0","1","0","1","98","6526","1","2","2017-05-29 18:44:43","1529"
"AY832D29HUURG
","sp_v2","39ASUFLU6X8ELFUIXT73DFFBJQ1EXB","1","0","0","1","1","8","0","8","82","3260","1","-27","2017-05-29 18:44:43","1530"
"A39VDI1CVOMMIN","sp_v2","3YMU66OBIN9FJ3QUYKF5AWCT8GXHG2","1","1","0","1","0","6","0","6","86","846","1","14","2017-05-29 18:44:43","1531"
"A39Q4SNT7SRK94","sp_v2","32KTQ2V7RDGMW74XBBP8AKY2LP1M9P","0","0","1","1","0","8","0","8","100","15","0","0","2017-05-29 18:44:43","1532"
